Tipo,Agent,Funcao,Time Played,Matches,Win %,K/D,ADR,ACS,DDΔ,HS%,KAST,Kills,Deaths,Assists,Attack W/L,Attack Win %,Attack K/D,Defense W/L,Defense Win %,Defense K/D
Agente,Clove,Controller,32 hrs,61,42.6,0.87,151.5,227.7,-13,31.2,73.7,999,1144,463,314 - 311,50.2,0.85,315 - 340,48.1,0.9
Agente,Jett,Duelist,15 hrs,28,46.4,0.94,146.9,218.9,-1,29.7,70.2,464,494,103,134 - 176,43.2,0.77,168 - 139,54.7,1.14
Agente,Sova,Initiator,7.5 hrs,14,42.9,0.89,138.0,197.3,-3,28.0,72.0,199,224,96,64 - 91,41.3,0.89,84 - 61,57.9,0.89
Agente,Chamber,Sentinel,7.3 hrs,14,57.1,0.83,123.6,185.3,-18,30.0,67.2,192,230,37,66 - 87,43.1,0.76,76 - 64,54.3,0.92
Agente,Phoenix,Duelist,3.3 hrs,7,42.9,0.71,122.7,174.8,-52,34.1,60.7,82,115,32,32 - 46,41.0,0.62,32 - 30,51.6,0.87
Agente,Reyna,Duelist,3.3 hrs,7,14.3,0.62,112.9,169.2,-46,34.0,62.5,75,121,24,26 - 48,35.1,0.46,22 - 40,35.5,0.81
Agente,Fade,Initiator,1.7 hrs,3,66.7,0.94,124.5,185.1,0,37.1,75.4,45,48,20,17 - 19,47.2,1.16,20 - 13,60.6,0.7
Agente,Neon,Duelist,1.4 hrs,3,66.7,1.13,153.2,243.9,+12,32.0,68.3,51,45,8,14 - 16,46.7,1.08,17 - 13,56.7,1.21
Agente,Raze,Duelist,0.7 hrs,2,50.0,0.9,167.5,244.5,+13,18.3,60.6,26,29,7,9 - 11,45.0,0.72,8 - 5,61.5,1.18
Agente,Harbor,Controller,0.6 hrs,1,100.0,0.6,91.0,137.1,-69,33.3,66.7,12,20,9,7 - 5,58.3,0.33,6 - 6,50.0,0.82
Agente,Cypher,Sentinel,0.6 hrs,1,100.0,0.71,118.3,167.3,-11,18.8,70.8,12,17,6,6 - 6,50.0,0.33,7 - 5,58.3,1.12
Agente,Killjoy,Sentinel,0.5 hrs,1,100.0,1.64,200.1,274.2,+79,24.7,78.3,23,14,2,6 - 5,54.5,0.88,7 - 5,58.3,2.67
Agente,Omen,Controller,0.4 hrs,1,100.0,1.31,221.3,312.4,+68,24.7,70.0,21,16,7,7 - 1,87.5,1.71,6 - 6,50.0,1.0
Agente,Waylay,Duelist,0.4 hrs,1,0.0,0.62,106.1,159.3,-47,48.0,61.1,10,16,0,0 - 6,0.0,0.67,5 - 7,41.7,0.6
Agente,Sage,Sentinel,0.3 hrs,1,100.0,2.57,197.6,286.3,+88,44.7,93.8,18,7,7,9 - 3,75.0,2.0,4 - 0,100.0,6.0
